group_name,pc_name,mac,serial_number
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42060,AA:BB:CC:DD:EE:42060,SN042060
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42061,AA:BB:CC:DD:EE:42061,SN042061
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42062,AA:BB:CC:DD:EE:42062,SN042062
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42063,AA:BB:CC:DD:EE:42063,SN042063
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42064,AA:BB:CC:DD:EE:42064,SN042064
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42065,AA:BB:CC:DD:EE:42065,SN042065
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42066,AA:BB:CC:DD:EE:42066,SN042066
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42067,AA:BB:CC:DD:EE:42067,SN042067
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42068,AA:BB:CC:DD:EE:42068,SN042068
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42069,AA:BB:CC:DD:EE:42069,SN042069
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42070,AA:BB:CC:DD:EE:42070,SN042070
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42071,AA:BB:CC:DD:EE:42071,SN042071
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42072,AA:BB:CC:DD:EE:42072,SN042072
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42073,AA:BB:CC:DD:EE:42073,SN042073
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42074,AA:BB:CC:DD:EE:42074,SN042074
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42075,AA:BB:CC:DD:EE:42075,SN042075
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42076,AA:BB:CC:DD:EE:42076,SN042076
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42077,AA:BB:CC:DD:EE:42077,SN042077
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42078,AA:BB:CC:DD:EE:42078,SN042078
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42079,AA:BB:CC:DD:EE:42079,SN042079
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42080,AA:BB:CC:DD:EE:42080,SN042080
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42081,AA:BB:CC:DD:EE:42081,SN042081
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42082,AA:BB:CC:DD:EE:42082,SN042082
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42083,AA:BB:CC:DD:EE:42083,SN042083
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42084,AA:BB:CC:DD:EE:42084,SN042084
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42085,AA:BB:CC:DD:EE:42085,SN042085
사업장/천안 캠퍼스/SDC 2공장/A3 LINE/장비1,PC42086,AA:BB:CC:DD:EE:42086,SN042086
